   NAME               HOST                   VERSION          MESSAGE                       
   CLI_TOOL           10.30.249.96           23.08.16.1       Command Line Interface Tool   
   UI_SERVICE         10.30.249.96:9025      23.08.28.1       UI Service for Netprizm       
   CCL_SERVICE        localhost:9020         23.08.21         CCL Service                   
   LMM_SERVICE        localhost:8081         2.6.0            LMM Service                   
   UEM_SERVICE        localhost:9026         23.07.11         UE Mapper service for Netprizm
   NAF_SERVICE        localhost:9019         23.09.11         NAF Service for Netprizm      
   EM_SERVICE         localhost:9028         23.08.28.1       Execution Manager Service for Netprizm
      NAF_SERVICE     localhost:9019         23.09.11         NAF Service for Netprizm      
      SD_SERVICE      10.30.249.96:9027      23.08.23         Simulation Data service for Netprizm
   AM_SERVICE         ab-ams.vzsme.com:9092   23.07.05         Account Management Service for Netprizm
   NUM  NAME               HOST                    CNTLR VERSION  APP VERSION    
     1  CU_01              10.30.249.86:9022       23.08.15       02.05.13       
     2  PUBSUB_BROKER      10.30.249.96:9033       23.08.13       v23.7.2.1      
     3  DU_11_RANP_PUBS…   10.30.249.87:9023       23.08.13       v23.7.2.1      
     4  DU_12_RANP_PUBS…   10.30.249.88:9023       23.08.13       v23.7.2.1      
     5  CHV_PUBSUB         10.30.249.96:9031       23.08.13       v23.7.2.1      
     6  UE_01_UEMP_PUBS…   10.30.249.91:9023       23.08.13       v23.7.2.1      
     7  UE_02_UEMP_PUBS…   10.30.249.92:9023       23.08.13       v23.7.2.1      
     8  UE_03_UEMP_PUBS…   10.30.249.93:9023       23.08.13       v23.7.2.1      
     9  UE_04_UEMP_PUBS…   10.30.249.94:9023       23.08.13       v23.7.2.1      
    10  UE_05_UEMP_PUBS…   10.30.249.89:9023       23.08.13       v23.7.2.1      
    11  UE_06_UEMP_PUBS…   10.30.249.90:9023       23.08.13       v23.7.2.1      
    12  UE_01_UEMP_CSM     10.30.249.91:9023       23.08.13       v23.7.2.1      
    13  UE_02_UEMP_CSM     10.30.249.92:9023       23.08.13       v23.7.2.1      
    14  UE_03_UEMP_CSM     10.30.249.93:9023       23.08.13       v23.7.2.1      
    15  UE_04_UEMP_CSM     10.30.249.94:9023       23.08.13       v23.7.2.1      
    16  UE_05_UEMP_CSM     10.30.249.89:9023       23.08.13       v23.7.2.1      
    17  UE_06_UEMP_CSM     10.30.249.90:9023       23.08.13       v23.7.2.1      
    18  CHV_CSM            10.30.249.96:9031       23.08.13       v23.7.2.1      
    19  DU_11_RANP_CSM     10.30.249.87:9023       23.08.13       v23.7.2.1      
    20  DU_12_RANP_CSM     10.30.249.88:9023       23.08.13       v23.7.2.1      
    21  CHV                10.30.249.96:9031       23.08.13       RF_23.8.1.1    
    22  DU_11_RANP         10.30.249.87:9023       23.08.13       v23.7.2.1      
    23  DU_12_RANP         10.30.249.88:9023       23.08.13       v23.7.2.1      
    24  UE_01_UEMP         10.30.249.91:9023       23.08.13       v23.7.2.1      
    25  UE_02_UEMP         10.30.249.92:9023       23.08.13       v23.7.2.1      
    26  UE_03_UEMP         10.30.249.93:9023       23.08.13       v23.7.2.1      
    27  UE_04_UEMP         10.30.249.94:9023       23.08.13       v23.7.2.1      
    28  UE_05_UEMP         10.30.249.89:9023       23.08.13       v23.7.2.1      
    29  UE_06_UEMP         10.30.249.90:9023       23.08.13       v23.7.2.1      
    30  DU_11              10.30.249.87:9021       23.08.15.1     02.05.13       
    31  DU_12              10.30.249.88:9021       23.08.15.1     02.05.13       
    32  UE_01              10.30.249.91:9021       23.08.28       03.01.05.01    
    33  UE_02              10.30.249.92:9021       23.08.28       03.01.05.01    
    34  UE_03              10.30.249.93:9021       23.08.28       03.01.05.01    
    35  UE_04              10.30.249.94:9021       23.08.28       03.01.05.01    
    36  UE_05              10.30.249.89:9021       23.08.28       03.01.05.01    
    37  UE_06              10.30.249.90:9021       23.08.28       03.01.05.01    
    38  VATEST             10.30.249.96:9031       23.08.13       RF_23.8.1.1    
